code, nom,latitude,longitude,commune
75110,"Paris 10eme arrondissement",48.876028556943403,2.3611129045617067,75056
75108,"Paris 8eme arrondissement",48.872527124062898,2.3125863687542791,75056
75118,"Paris 18eme arrondissement",48.892735072209341,2.3487119295092578,75056
75105,"Paris 5eme arrondissement",48.844508685209945,2.3498625812227893,75056
75114,"Paris 14eme arrondissement",48.828993732590199,2.3271044254196891,75056
75117,"Paris 17eme arrondissement",48.887337166486837,2.3074855594934327,75056
75112,"Paris 12eme arrondissement",48.835153537999979,2.4198177761894106,75056
75104,"Paris 4eme arrondissement",48.854229075499255,2.3573638803251762,75056
75102,"Paris 2eme arrondissement",48.867903420672029,2.3441109391370203,75056
75107,"Paris 7eme arrondissement",48.856082598196963,2.3124386877338625,75056
75111,"Paris 11eme arrondissement",48.859414779057417,2.3787311629625254,75056
75109,"Paris 9eme arrondissement",48.876896978012631,2.3374637688024729,75056
75116,"Paris 16eme arrondissement",48.860397299183738,2.2621022718239234,75056
75115,"Paris 15eme arrondissement",48.840155116238506,2.2935627899445055,75056
75103,"Paris 3eme arrondissement",48.863053095895189,2.359367533088665,75056
75106,"Paris 6eme arrondissement",48.848968091919481,2.3326708985884177,75056
75120,"Paris 20eme arrondissement",48.863180342566274,2.4008160851385512,75056
75119,"Paris 19eme arrondissement",48.88686893207035,2.3846957924566667,75056
75113,"Paris 13eme arrondissement",48.828719835604069,2.362471028425781,75056
75101,"Paris 1er arrondissement",48.862630104587794,2.3362976652832521,75056
13201,"Marseille 1er arrondissement",43.2999009436368,5.3822786979521924,13055
13202,"Marseille 2eme arrondissement",43.313803280566091,5.3636548329079421,13055
13203,"Marseille 3eme arrondissement",43.31211970432242,5.3801137533659835,13055
13204,"Marseille 4eme arrondissement",43.306733355015979,5.4008748875153314,13055
13205,"Marseille 5eme arrondissement",43.29280619529812,5.3975770958973008,13055
13206,"Marseille 6eme arrondissement",43.287098954551354,5.3810478539385915,13055
13207,"Marseille 7eme arrondissement",43.282517780025472,5.3632344043497246,13055
13208,"Marseille 8eme arrondissement",43.24172738431843,5.3746970065557491,13055
13209,"Marseille 9eme arrondissement",43.23436619120217,5.4521932649971898,13055
13210,"Marseille 10eme arrondissement",43.275515458430135,5.4268122200511693,13055
13212,"Marseille 12eme arrondissement",43.307768367762023,5.4399156767833032,13055
13211,"Marseille 11eme arrondissement",43.288447188052231,5.4838146622903139,13055
13213,"Marseille 13eme arrondissement",43.34927800054507,5.4337223873812865,13055
13214,"Marseille 14eme arrondissement",43.345500981481813,5.3940890307258025,13055
69385,"Lyon 5eme arrondissement",45.755831784888109,4.8022536948976979,69123
13215,"Marseille 15eme arrondissement",43.358795988903196,5.3634074640402485,13055
13216,"Marseille 16eme arrondissement",43.364813557222874,5.3135780921096085,13055
69381,"Lyon 1er arrondissement",45.769928439658415,4.8292246497817617,69123
69382,"Lyon 2eme arrondissement",45.749257193949013,4.8261714491298235,69123
69383,"Lyon 3eme arrondissement",45.753355210355906,4.8691868353137044,69123
69384,"Lyon 4eme arrondissement",45.778686758080774,4.8239611268907243,69123
69386,"Lyon 6eme arrondissement",45.772850332442275,4.8520802916938717,69123
69387,"Lyon 7eme arrondissement",45.733411339199911,4.8375876857849036,69123
69388,"Lyon 8eme arrondissement",45.734203469098411,4.8693572230535622,69123
69389,"Lyon 9eme arrondissement",45.781780874410167,4.8081847629035241,69123
