code, nom,latitude,longitude,departement
45337,"Villamblain",48.009999999999998,1.5522222222222222,45
63333,"Saint-Denis-Combarnazat",45.982777777777777,3.3500000000000001,63
03016,"Barberier",46.217777777777776,3.2458333333333336,03
37179,"Parçay-Meslay",47.441666666666663,0.74555555555555553,37
37261,"Tours",47.392777777777781,0.68833333333333335,37
26329,"Saint-Sauveur-Gouvernet",44.337222222222223,5.3508333333333331,26
30297,"Saint-Sauveur-Camprieu",44.115833333333335,3.4772222222222222,30
64444,"Pardies-Piétat",43.213333333333338,-0.29972222222222222,64
50028,"La Baleine",48.92444444444444,-1.3177777777777777,50
14688,"Thiéville",49.036111111111111,-0.026388888888888889,14
91232,"La Ferté-Alais",48.482777777777777,2.3486111111111114,91
77359,"Perthes",48.477499999999999,2.5549999999999997,77
54150,"Custines",48.791944444444439,6.1425000000000001,54
60235,"Flavacourt",49.335000000000001,1.8208333333333333,60
60690,"Villers-sur-Trie",49.30694444444444,1.8227777777777778,60
60386,"Marquéglise",49.516388888888891,2.7633333333333332,60
59215,"Estreux",50.350833333333334,3.5941666666666667,59
50142,"Cosqueville",49.694166666666661,-1.4088888888888889,50
84034,"Caumont-sur-Durance",43.894722222222221,4.9463888888888894,84
16233,"Mosnac",45.618611111111115,-0.018888888888888889,16
02411,"Latilly",49.154166666666669,3.3102777777777774,02
77430,"Saint-Pathus",49.070555555555558,2.799722222222222,77
65277,"Lombrès",43.056666666666665,0.51000000000000001,65
33337,"Preignac",44.585000000000001,-0.29527777777777775,33
65176,"Ferrières",43.009444444444448,-0.26361111111111113,65
26030,"La Bâtie-des-Fonds",44.514444444444443,5.6386111111111106,26
80050,"Bacouel-sur-Selle",49.830555555555556,2.2244444444444444,80
39544,"Varessia",46.55972222222222,5.54,39
33167,"Floirac",44.836388888888891,-0.52583333333333337,33
33222,"Lalande-de-Pomerol",44.955555555555556,-0.20916666666666667,33
17281,"Polignac",45.284444444444439,-0.30916666666666665,17
12169,"Naucelle",44.198333333333331,2.3419444444444446,12
25325,"Landresse",47.257222222222225,6.469444444444445,25
51154,"Clamanges",48.827777777777783,4.083333333333333,51
15069,"Ferrières-Saint-Mary",45.183055555555555,3.0583333333333331,15
27369,"Lilly",49.406666666666666,1.5669444444444445,27
42055,"Châtelus",45.595833333333339,4.4655555555555555,42
35212,"Pancé",47.881388888888893,-1.6583333333333332,35
73012,"Albiez-le-Jeune",45.244999999999997,6.3516666666666666,73
17107,"Ciré-d'Aunis",46.054722222222217,-0.93138888888888882,17
17375,"Saint-Nazaire-sur-Charente",45.935555555555553,-1.0527777777777778,17
31186,"Fonbeauzard",43.67722222222222,1.4322222222222223,31
69058,"Chiroubles",46.18055555555555,4.6655555555555557,69
66027,"La Cabanasse",42.501111111111108,2.1150000000000002,66
62224,"Chocques",50.541944444444439,2.5730555555555554,62
42130,"Magneux-Haute-Rive",45.670555555555552,4.1711111111111112,42
01384,"Saint-Rambert-en-Bugey",45.948611111111106,5.4380555555555556,01
63070,"Ceyrat",45.732777777777777,3.063333333333333,63
03047,"La Celle",46.228611111111114,2.7847222222222223,03
47191,"Montpouillan",44.467777777777776,0.10500000000000001,47
63006,"Anzat-le-Luguet",45.332222222222228,3.0416666666666665,63
30311,"Sauve",43.942499999999995,3.9486111111111115,30
11048,"Boutenac",43.147500000000001,2.7905555555555552,11
68017,"Ballersdorf",47.623333333333335,7.1600000000000001,68
68059,"Burnhaupt-le-Bas",47.717777777777776,7.1616666666666671,68
50413,"Précey",48.607500000000002,-1.3774999999999999,50
77313,"Montmachoux",48.318611111111117,2.9930555555555558,77
74289,"Vallières",45.900277777777774,5.9361111111111118,74
11229,"Mazuby",42.801388888888887,2.0330555555555554,11
64375,"Méharin",43.333055555555561,-1.145,64
32257,"Mirannes",43.619166666666665,0.38222222222222219,32
54441,"Puxieux",49.07694444444445,5.8877777777777771,54
76005,"Amfreville-la-Mi-Voie",49.401944444444446,1.1300000000000001,76
60364,"Lieuvillers",49.469999999999999,2.4955555555555557,60
80011,"Ailly-sur-Somme",49.926666666666662,2.1938888888888886,80
62547,"Marant",50.466388888888893,1.8450000000000002,62
71119,"Chaudenay",46.914722222222224,4.7924999999999995,71
76702,"Touffreville-la-Corbeline",49.581111111111113,0.7630555555555556,76
47274,"Saint-Romain-le-Noble",44.162222222222219,0.78527777777777774,47
82013,"Beaumont-de-Lomagne",43.883055555555558,0.98833333333333329,82
88070,"Bouxurulles",48.334722222222226,6.2327777777777778,88
65233,"Jarret",43.081666666666671,-0.014166666666666666,65
60123,"Campremy",49.570555555555558,2.3122222222222222,60
21280,"Fontangy",47.346111111111114,4.3561111111111108,21
26245,"Pommerol",44.446111111111108,5.4522222222222227,26
24497,"Sainte-Sabine-Born",44.693055555555553,0.75166666666666671,24
24470,"Sainte-Mondane",44.845555555555556,1.3366666666666667,24
10176,"Jaucourt",48.259166666666665,4.6469444444444443,10
59468,"Potelle",50.234166666666667,3.6633333333333331,59
15269,"Besse",45.096111111111114,2.3494444444444444,15
53240,"Saint-Martin-du-Limet",47.815277777777773,-1.0208333333333333,53
24282,"Monsaguel",44.737222222222222,0.58027777777777778,24
32334,"Pujaudran",43.590833333333336,1.1491666666666667,32
62455,"Hocquinghen",50.768611111111113,1.9380555555555556,62
59297,"Hélesmes",50.369444444444447,3.3580555555555556,59
61318,"Origny-le-Butin",48.371388888888887,0.46777777777777779,61
63167,"Gimeaux",45.950000000000003,3.0936111111111111,63
70157,"Clairegoutte",47.663611111111109,6.6213888888888892,70
