code, nom,latitude,longitude
9399,"MONACO",0,0
101,"GUADELOUPE 1",0,0
102,"GUADELOUPE 2",0,0
103,"GUADELOUPE 3",0,0
9306,"MARSEILLE",43.364402078594871,5.4248380317790836
5325,"PONT L'ABBE",47.911093691109947,-4.288247275141849
5203,"CHATEAUBRIANT",47.64653521848242,-1.4715588166982201
8244,"VILLEURBANNE",45.770745116418496,4.8882888599759742
8240,"TREVOUX",46.035161430341596,4.8584741563523677
5223,"CLISSON",47.08549911169149,-1.346546411614395
8228,"LYON CENTRE",45.754870541050465,4.8361580053587181
1103,"PARIS BASTILLE",0,0
1101,"PARIS CHAMP DE MARS",0,0
1105,"PARIS MONTMARTRE",0,0
1104,"PARIS LOUVRE",0,0
1106,"PARIS MENILMONTANT",0,0
1102,"PARIS CHAILLOT",0,0
1160,"HAUTS DE SEINE NORD",48.924852995441434,2.2834697752015565
202,"MARTINIQUE NORD ATLANTIQUE",0,0
203,"MARTINIQUE SUD",0,0
204,"MARTINIQUE NORD CARAIBE",0,0
201,"MARTINIQUE CENTRE",0,0
301,"CAYENNE",0,0
303,"KOUROU",0,0
302,"SAINT LAURENT DU MARONI",0,0
402,"REUNION SUD",0,0
403,"REUNION EST",0,0
401,"REUNION OUEST",0,0
404,"REUNION NORD",0,0
405,"MAYOTTE",0,0
104,"GUADELOUPE 4",0,0
1194,"VAL D'OISE EST",49.035609856291622,2.3915534442154334
7205,"PAUILLAC",45.215882511109555,-0.94914623379525542
8241,"PAYS DE GEX",46.222201934481312,5.9206691994088549
2205,"CHAUNY",49.594477650482354,3.2868400253092358
1165,"HAUTS DE SEINE SUD",48.797848168483078,2.2561508529099377
8201,"BOURG EN BRESSE",46.248105305707107,5.1380467451426766
7209,"BORDEAUX CUB",44.830768381932145,-0.61643618945906065
5225,"SAINT NAZAIRE",47.403152739328902,-2.0759706276705456
5230,"BLAIN",47.49269133739314,-1.7810260791868753
9113,"MONTPELLIER",43.696046513662012,3.8173694968306169
2420,"GIEN",47.680122865230203,2.591815173309747
4210,"GUEBWILLER",47.932750739092349,7.2600073005097183
4214,"SAINT-LOUIS",47.587701366503339,7.4863800932720554
7318,"MURET",43.351216488916918,1.1783574906201526
7317,"TOULOUSE",43.572490003316318,1.4943826037537487
4212,"MULHOUSE",47.772226459141422,7.3913316564603786
8203,"AMBERIEU",45.933297586469017,5.256865089421713
8204,"BELLEY",45.846262876595766,5.6465933522551115
8202,"OYONNAX",46.161829517136177,5.6170391742193155
2207,"SOISSONS",49.33397814050219,3.33976423715474
2204,"SAINT QUENTIN",49.85073156054807,3.3254732374930152
2212,"LAON",49.584473292911319,3.7963304114096204
2206,"HIRSON",49.900254967741624,3.8518025071525059
1187,"VAL DE MARNE OUEST",48.773311407220696,2.4043194706861142
2208,"BRIE TARDENOIS",49.076509003172674,3.4163502629778217
8227,"GIER",45.45584873590483,4.6044519189916526
9305,"CANNES",43.726463272144024,6.9068493872979531
8303,"VICHY CUSSET",46.18247296361303,3.4047256847945424
8302,"MOULINS",46.514158284594629,3.3898364722163672
8301,"MONTLUCON",46.419760752643967,2.6737902285273925
9304,"NICE",44.000452401205415,7.1786637288703812
9301,"ALPES DE HAUTE PROVENCE",44.10630554528796,6.2449003880325851
2113,"REVIN",49.984242227741056,4.6684132642774721
9302,"HAUTES ALPES",44.663695646258027,6.2647053763117171
3102,"VERSANT N-EST ROUB.TOURC.",50.715836728172711,3.125871409630117
8236,"ARDECHE CENTRE",44.826131809836227,4.5129021888244738
2108,"BAR SUR AUBE",48.321561984974828,4.6043816830280981
2314,"PONT AUDEMER",49.352568217748797,0.60445482460439737
8220,"AUBENAS",44.588956147573235,4.2248091442583284
8219,"ANNONAY",45.179515602276744,4.58374515469536
1189,"VAL DE MARNE EST",48.781204008782552,2.5287720172288419
8221,"DROME ARDECHE SUD",44.408404045193599,5.0295385740703482
8232,"DROME ARDECHE CENTRE",44.899254903436045,4.9332313935218011
8231,"DROME-ARDECHE-NORD",45.058087377399438,4.9974209989603962
2114,"SEDAN",49.646118882184595,5.0462810915787939
2115,"RETHEL",49.46119185998721,4.5491029709418864
2112,"CHARLEVILLE",49.772810965238293,4.5730930113456099
7310,"FOIX",42.810503313832434,1.6611439021462995
7312,"LAVELANET",42.984151133137765,1.8483000317555596
9309,"AIX",43.555247974092879,5.4872779163391465
7313,"ST GIRONS",42.930021351478956,1.1748759111429659
7311,"PAMIERS",43.175880316968588,1.5391282626693121
2607,"MONTCEAU LES MINES",46.632699553866978,4.373355116981843
2102,"TROYES",48.244846092272518,4.1571389953096913
8304,"AURILLAC",44.89270509392091,2.3894693496270465
2107,"ROMILLY SUR SEINE",48.458232965760331,3.7361426652612448
9101,"CARCASSONNE CASTELNAUDARY",43.226842203731515,2.2642801806562023
9103,"LIMOUX",42.933189308893198,2.1834755027892818
9102,"NARBONNE",43.086437426699597,2.8795415561086233
4310,"PONTARLIER",46.858712404622914,6.2630948355075251
7314,"RODEZ",44.449333690049329,2.6178370524784227
2403,"AUBIGNY",47.412162316672294,2.5596024344852841
7315,"MILLAU",44.038694268566019,2.9662890688330821
7323,"DECAZEVILLE VILLEFRANCHE",44.409783751725669,2.0956887276403493
9310,"ARLES SALON",43.631992406176323,4.7806966220541502
9307,"LA CIOTAT",43.289069442632275,5.6193831490392263
9308,"ETANG DE BERRE",43.459597986966735,5.0411683019640829
2504,"LISIEUX",49.155800896724053,0.15229709451096332
2503,"FALAISE",48.923131676875954,-0.26522158904341886
2502,"BAYEUX",49.252848242758652,-0.83211512113024122
