code, nom,latitude,longitude
0101,"Pointe-à-Pitre",0,0
0102,"Basse-Terre",0,0
0103,"Marie-Galante",0,0
0106,"Est - Grande-Terre",0,0
0201,"Centre agglomération",0,0
0202,"Sud-Caraibe",0,0
0203,"Sud",0,0
0204,"Centre-Atlantique",0,0
0205,"Nord-Caraibe",0,0
0206,"Nord-Atlantique",0,0
0301,"Cayenne",0,0
0302,"Kourou",0,0
0303,"Saint-Laurent",0,0
0401,"Est",0,0
0402,"Nord",0,0
0403,"Ouest",0,0
0404,"Sud",0,0
0601,"Mayotte",0,0
0061,"Toulouse",43.504355194670943,1.4015513317792005
1113,"Plaisir",48.845358809942489,1.8548285709877623
1111,"Poissy",48.95437015254614,1.9248027838661741
1112,"Rambouillet",48.630991074154856,1.8046892164276767
3125,"Calais",50.873020075272919,1.9723550038209727
3127,"Berck - Montreuil",50.473705573679894,1.8656384449761638
4101,"Longwy",49.444193700677047,5.6155566630125255
1114,"Étampes",48.395717550437368,2.1376186001100517
4209,"Saint-Louis",47.568885305172806,7.3511566794559169
4305,"Dole",47.050354031172517,5.5006763015700111
4308,"Gray",47.513454878694482,5.5983394426237316
9112,"Sète",43.448761646597539,3.6448795304530202
9311,"Istres - Martigues",43.459257998324986,4.9335493201628351
1115,"Évry",48.50328733166905,2.3956743344598537
5302,"Guingamp",48.537920756124862,-3.2421042448512436
3126,"Boulogne-sur-mer",50.725307804781089,1.7307323984579315
2415,"Vendôme",47.837339912443703,0.96448536703509458
1118,"Orly",48.738212338883606,2.3990033843847258
3110,"Roubaix - Tourcoing",50.718006019098695,3.0880575595317539
4206,"Wissembourg",48.960118489872919,8.0022249833249699
4207,"Colmar",48.07929735485429,7.3108716857705849
3113,"Flandre - Lys",50.740839730154555,2.5716468288309211
5304,"Loudéac",48.203907494420157,-2.7397674534533971
2509,"Granville",48.845159598796705,-1.4457719693547111
3114,"Douai",50.385721646009998,3.1876644031226467
2101,"Charleville-Mézières",49.713711390936894,4.7511638614579876
3112,"Dunkerque",50.946567281827733,2.3693066312297533
5216,"Fontenay-le-Comte",46.496576390941584,-0.78810447140080142
5217,"Les Herbiers",46.8142887739901,-0.93089911451774998
5218,"La Roche-sur-Yon",46.601061205055423,-1.3199950608996514
5301,"Dinan",48.458325188071697,-2.101364575502676
2407,"Le Blanc",46.708778498023513,1.044545960412544
2408,"Issoudun",46.971626889112756,1.977465806602472
2413,"Blois",47.535678501364224,1.3542049517752406
2505,"Vire",48.837671370042813,-0.9010097644037306
2202,"Tergnier",49.604515175758188,3.2462867810283256
2510,"Saint-Lô",49.079176252534886,-1.1088569249100273
2602,"Chatillon",47.842130393477824,4.608518873604174
2304,"Vernon - Gisors",49.223585331529392,1.5112965776748533
1108,"Provins",48.549625762100504,3.3193315692368976
0050,"Mont-de-Marsan",43.891912069874174,-0.331620793178312
0054,"Nogent-le-Rotrou",48.32002487585698,0.76861836735355316
0052,"Cosne - Clamecy",47.3541183653115,3.1553208670817932
0051,"Alençon",48.490315281045,0.27017537618454429
1109,"Houdan",48.79356717631233,1.735438796373155
2503,"Honfleur",49.314505976879651,0.17667583478737484
0053,"Mâcon",46.390693198540596,4.7334178777390976
0055,"Vallée de la Bresle - Vimeu",49.964759378325645,1.5903862372298458
0059,"Avignon",43.988406975694318,4.9472838023866954
5219,"Les Sables-d'Olonne",46.518030814475637,-1.684730725396032
1119,"Cergy",49.102540479934582,1.9680708324242573
0056,"Roissy - Sud Picardie",49.18566203577172,2.6533925489768033
0057,"Brive-la-Gaillarde",45.073247837789566,1.6266305953582199
1104,"Meaux",48.973501855587571,3.0387295563904582
0060,"Saint-Étienne",45.46544638811158,4.1496270074414614
1110,"Mantes-la-Jolie",48.987447763687577,1.6557178651652593
1101,"Paris",48.876663023522866,2.3162069162641514
1102,"Marne-la-Vallée",48.838436647359806,2.7959674052738506
1103,"Coulommiers",48.792581332166122,3.2225742787012073
1105,"Melun",48.496011630672925,2.8067966090484031
1106,"Montereau-Fault-Yonne",48.363372826096537,3.0038646555616579
1107,"Nemours",48.216307329118614,2.7227503307180223
1116,"Saclay",48.666612212982926,2.0968115635480187
1117,"Créteil",48.727454443800383,2.6943437272009079
2414,"Romorantin-Lanthenay",47.279086216509825,1.6876483288933468
2103,"Châlons-en-Champagne",48.994680113964556,4.5468761992495086
2104,"Épernay",48.859185226068398,3.8021484250259934
2102,"Troyes",48.309315525105326,4.1591470577273686
2609,"Louhans",46.627654060821598,5.2603468222106988
2206,"Soissons",49.387705955033525,3.3772357602733138
2107,"Vitry-le-François - Saint-Dizier",48.581708509399157,4.8393140532635632
2105,"Reims",49.354832322156838,4.2836512250572216
5202,"Châteaubriant",47.690967682961471,-1.3979146584872206
2106,"Chaumont - Langres",47.997636204379532,5.301003025639452
2203,"Thiérache",49.904082342977439,3.9064383731932066
2201,"Château-Thierry",49.071861108087681,3.4493300663480944
2204,"Laon",49.595395996293405,3.7828542097045594
2205,"Saint-Quentin",49.861085766270534,3.3508079580265675
2208,"Compiègne",49.484851984656871,2.84914997362789
2211,"Péronne",49.898469840317475,2.9475212917866269
2301,"Bernay",49.065012745317681,0.59881776932464958
8221,"Mont Blanc",45.894567530165197,6.7438710313234802
2207,"Beauvais",49.463937156952788,2.0332488501984733
2209,"Abbeville",50.192223556225315,1.8195523100582252
2210,"Amiens",49.897392142525639,2.3401469658055909
2302,"Évreux",48.933893109305693,1.0525868062504133
2303,"Pont-Audemer",49.335940586873583,0.48756258573132821
8222,"Chablais",46.28709035159364,6.6594923983725911
